Identifier,Has Disorder,Crystal different to Crystallographer Drawing (including Hydrogens),Crystal different to Crystallographer Drawing (excluding Hydrogens),Is Total Charge 0,Is Total Multiplicity 1
ABALIZ,True,True,True,True,True
ABEXOX,False,True,True,True,True
ABIBEW,False,True,True,True,True
ABIBIA,False,False,False,True,True
ABIBOG,True,False,False,True,True
ABICAT,True,True,True,True,True
ABICEX,False,False,False,True,True
ABIGIB,False,True,True,True,True
ABIQEL,False,True,True,True,True
ABIVOA,False,True,True,True,True
ABIVUG,True,True,True,True,True
ABURAS,True,True,True,False,True
ABUROG,False,True,True,True,True
ABUSAT,True,True,True,True,True
ABUSEZ,True,True,True,True,True
ACAVAE,True,True,True,True,True
ACEBOC,True,True,True,True,True
ACEGEU,True,True,True,True,True
ACOFUV,False,True,True,True,True
ACOGAC,False,True,True,True,True
ACOGEG,False,True,True,True,True
ACOGIK,False,False,False,True,True
ACOGOQ,False,False,False,True,True
ACOGUW,False,False,False,True,True
ACOTUI,False,True,True,True,True
ACUKER,False,True,True,True,True
ACUKIV,False,True,True,True,True
ACUWAZ,False,True,True,True,True
ADAFES,True,True,True,True,True
ADAFIW,True,True,True,True,True
ADAGAQ,False,True,True,True,True
ADAHEV,False,True,True,True,True
ADAMAW,False,False,False,True,True
ADAQEE,False,True,True,True,True
ADEBAP,True,True,True,True,True
ADIKOP,False,True,True,True,True
ADIMUV,False,True,True,True,True
ADITUD,False,True,True,True,True
ADIXIW,True,True,True,True,True
ADUCUA,True,True,True,True,True
AFADUG,False,True,True,True,True
AFEQAE,True,True,True,True,True
AFEVOZ,True,True,True,True,True
AFEWAM,False,True,True,True,True
AFEWUG,False,True,True,True,True
AFEXAM,False,True,True,True,True
AFIJUV,False,True,True,True,True
AFOHOV,True,True,True,True,True
AFOHUB,False,True,True,True,True
AFOMOX,False,True,True,True,True
AFUZEJ,True,True,True,True,True
AFUZIN,True,True,True,True,True
AGABUI,False,True,True,True,True
AGATOT,False,True,True,True,True
AGENIL,False,True,True,True,True
AGENOR,False,True,True,True,True
AGESIQ,True,True,True,True,True
AGESUC,True,True,True,True,True
AGETAJ,True,True,True,True,True
AGETEN,True,True,True,True,True
AGINAH,True,True,True,True,True
AGINAI,False,True,True,True,True
AGINEL,False,True,True,True,True
AGINEM,True,True,True,True,True
AGINIQ,False,True,True,True,True
AGINOW,False,True,True,True,True
AGINUC,False,True,True,True,True
AGIYEX,False,True,True,True,True
AGIYIB,False,True,True,True,True
AGIYOH,False,True,True,True,True
AGONOA,False,True,True,True,True
AGOQOF,True,True,True,True,True
AGOQUL,True,True,True,True,True
AGUBIQ,False,True,True,True,True
AGUBIQ01,True,True,True,True,True
AHAQOS,False,True,True,True,True
AHAYAL,True,True,True,True,True
AHEFEB,False,True,True,True,True
AHEHUT,True,True,True,True,True
AHOFAH,False,False,False,True,True
AHOFAH01,False,False,False,True,True
